CodeID,CPTCode,Description
1,84143,17-hydroxypregnenolone
2,U0002,"2019-ncov coronavirus, sars-cov-2/2019-ncov (covid-19), any technique, multiple types or subtypes (includes all targets), non-cdc"
3,77295,"3-dimensional radiotherapy plan, including dose-volume histograms"
4,93319,"3D echocardiographic imaging and postprocessing during transesophageal echocardiography, or during transthoracic echocardiography for congenital cardiac anomalies, for the assessment of cardiac structure(s) (eg, cardiac chambers and valves, left atrial appendage, interatrial septum, interventricular septum) and function, when performed (List separately in addition to code for echocardiographic imaging)"
5,76376,"3D rendering with interpretation and reporting of computed tomography, magnetic resonance imaging, ultrasound, or other tomographic modality with image postprocessing under concurrent supervision; not requiring image postprocessing on an independent workstation"
6,76377,"3D rendering with interpretation and reporting of computed tomography, magnetic resonance imaging, ultrasound, or other tomographic modality with image postprocessing under concurrent supervision; requiring image postprocessing on an independent workstation"
7,81170,"ABL1 (ABL proto-oncogene 1, non-receptor tyrosine kinase) (eg, acquired imatinib tyrosine kinase inhibitor resistance), gene analysis, variants in the kinase domain"
8,81203,"APC (adenomatous polyposis coli) (eg, familial adenomatosis polyposis [FAP], attenuated FAP) gene analysis; duplication/deletion variants"
9,81201,"APC (adenomatous polyposis coli) (eg, familial adenomatosis polyposis [FAP], attenuated FAP) gene analysis; full gene sequence"
10,81204,"AR (androgen receptor) (eg, spinal and bulbar muscular atrophy, Kennedy disease, X chromosome inactivation) gene analysis; characterization of alleles (eg, expanded size or methylation status)"
11,81173,"AR (androgen receptor) (eg, spinal and bulbar muscular atrophy, Kennedy disease, X chromosome inactivation) gene analysis; full gene sequence"
12,81200,"ASPA (aspartoacylase) (eg, Canavan disease) gene analysis, common variants (eg, E285A, Y231X)"
13,81175,"ASXL1 (additional sex combs like 1, transcriptional regulator) (eg, myelodysplastic syndrome, myeloproliferative neoplasms, chronic myelomonocytic leukemia), gene analysis; full gene sequence"
14,49083,Abdominal paracentesis (diagnostic or therapeutic); with imaging guidance
15,49082,Abdominal paracentesis (diagnostic or therapeutic); without imaging guidance
16,51845,"Abdomino-vaginal vesical neck suspension, with or without endoscopic control (eg, Stamey, Raz, modified Pereyra)"
17,20983,"Ablation therapy for reduction or eradication of 1 or more bone tumors (eg, metastasis) including adjacent soft tissue when involved by tumor extension, percutaneous, including imaging guidance when performed; cryoablation"
18,20982,"Ablation therapy for reduction or eradication of 1 or more bone tumors (eg, metastasis) including adjacent soft tissue when involved by tumor extension, percutaneous, including imaging guidance when performed; radiofrequency"
19,32994,"Ablation therapy for reduction or eradication of 1 or more pulmonary tumor(s) including pleura or chest wall when involved by tumor extension, percutaneous, including imaging guidance when performed, unilateral; cryoablation"
20,32998,"Ablation therapy for reduction or eradication of 1 or more pulmonary tumor(s) including pleura or chest wall when involved by tumor extension, percutaneous, including imaging guidance when performed, unilateral; radiofrequency"
21,47383,"Ablation, 1 or more liver tumor(s), percutaneous, cryoablation"
22,47382,"Ablation, 1 or more liver tumor(s), percutaneous, radiofrequency"
23,50592,"Ablation, 1 or more renal tumor(s), percutaneous, unilateral, radiofrequency"
24,47380,"Ablation, open, of 1 or more liver tumor(s); radiofrequency"
25,0441T,"Ablation, percutaneous, cryoablation, includes imaging guidance; lower extremity distal/peripheral nerve"
26,0442T,"Ablation, percutaneous, cryoablation, includes imaging guidance; nerve plexus or other truncal nerve (eg, brachial plexus, pudendal nerve)"
27,0440T,"Ablation, percutaneous, cryoablation, includes imaging guidance; upper extremity distal/peripheral nerve"
28,50593,"Ablation, renal tumor(s), unilateral, percutaneous, cryotherapy"
29,30801,"Ablation, soft tissue of inferior turbinates, unilateral or bilateral, any method (eg, electrocautery, radiofrequency ablation, or tissue volume reduction); superficial"
30,15787,Abrasion; each additional 4 lesions or less (List separately in addition to code for primary procedure)
31,15786,"Abrasion; single lesion (eg, keratosis, scar)"
32,C9354,"Acellular pericardial tissue matrix of non-human origin (veritas), per square centimeter"
33,80143,Acetaminophen
34,86041,Acetylcholine receptor (AChR); binding antibody
35,86042,Acetylcholine receptor (AChR); blocking antibody
36,86043,Acetylcholine receptor (AChR); modulating antibody
37,82013,Acetylcholinesterase
38,92570,"Acoustic immittance testing, includes tympanometry (impedance testing), acoustic reflex threshold testing, and acoustic reflex decay testing"
39,92568,"Acoustic reflex testing, threshold"
40,95803,"Actigraphy testing, recording, analysis, interpretation, and report (minimum of 72 hours to 14 consecutive days of recording)"
41,86015,"Actin (smooth muscle) antibody (ASMA), each"
42,85307,Activated Protein C (APC) resistance assay
43,G0176,"Activity therapy, such as music, dance, art or play therapies not for recreation, related to the care and treatment of patient's disabling mental health problems, per session (45 minutes or more)"
44,78278,Acute gastrointestinal blood loss imaging
45,80074,"Acute hepatitis panel This panel must include the following: Hepatitis A antibody (HAAb), IgM antibody (86709) Hepatitis B core antibody (HBcAb), IgM antibody (86705) Hepatitis B surface antigen (HBsAg) (87340) Hepatitis C antibody (86803)"
46,82016,"Acylcarnitines; qualitative, each specimen"
47,82017,"Acylcarnitines; quantitative, each specimen"
48,80145,Adalimumab
49,C1883,"Adapter/extension, pacing lead or neurostimulator lead (implantable)"
50,L3956,"Addition of joint to upper extremity orthosis, any material; per joint"
51,L1025,"Addition to ctlso or scoliosis orthosis, kyphosis pad, floating"
52,L0859,"Addition to halo procedure, magnetic resonance image compatible systems, rings and pins, any material"
53,L0861,"Addition to halo procedure, replacement liner/interface material"
54,L2780,"Addition to lower extremity orthosis, non-corrosive finish, per bar"
55,L2820,"Addition to lower extremity orthosis, soft interface for molded plastic, below knee section"
56,L2620,"Addition to lower extremity, pelvic control, hip joint, heavy duty, each"
57,L2540,"Addition to lower extremity, thigh/weight bearing, lacer, molded to patient model"
58,L1220,"Addition to tlso, (low profile), anterior thoracic extension"
59,L3995,"Addition to upper extremity orthosis, sock, fracture or equal, each"
60,93657,Additional linear or focal intracardiac catheter ablation of the left or right atrium for treatment of atrial fibrillation remaining after completion of pulmonary vein isolation (List separately in addition to code for primary procedure)
61,42836,"Adenoidectomy, secondary; age 12 or over"
62,82030,"Adenosine, 5-monophosphate, cyclic (cyclic AMP)"
63,C1765,Adhesion barrier
64,14301,"Adjacent tissue transfer or rearrangement, any area; defect 30.1 sq cm to 60.0 sq cm"
65,14302,"Adjacent tissue transfer or rearrangement, any area; each additional 30.0 sq cm, or part thereof (List separately in addition to code for primary procedure)"
66,14060,"Adjacent tissue transfer or rearrangement, eyelids, nose, ears and/or lips; defect 10 sq cm or less"
67,14061,"Adjacent tissue transfer or rearrangement, eyelids, nose, ears and/or lips; defect 10.1 sq cm to 30.0 sq cm"
68,14040,"Adjacent tissue transfer or rearrangement, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; defect 10 sq cm or less"
69,14041,"Adjacent tissue transfer or rearrangement, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; defect 10.1 sq cm to 30.0 sq cm"
70,14020,"Adjacent tissue transfer or rearrangement, scalp, arms and/or legs; defect 10 sq cm or less"
71,14021,"Adjacent tissue transfer or rearrangement, scalp, arms and/or legs; defect 10.1 sq cm to 30.0 sq cm"
72,14000,"Adjacent tissue transfer or rearrangement, trunk; defect 10 sq cm or less"
73,14001,"Adjacent tissue transfer or rearrangement, trunk; defect 10.1 sq cm to 30.0 sq cm"
74,20693,"Adjustment or revision of external fixation system requiring anesthesia (eg, new pin[s] or wire[s] and/or new ring[s] or bar[s])"
75,G0010,Administration of hepatitis b vaccine
76,G0008,Administration of influenza virus vaccine
77,G0009,Administration of pneumococcal vaccine
78,78075,"Adrenal imaging, cortex and/or medulla"
79,82024,Adrenocorticotropic hormone (ACTH)
80,94642,Aerosol inhalation of pentamidine for pneumocystis carinii pneumonia treatment or prophylaxis
81,Q4159,"Affinity, per square centimeter"
82,86000,"Agglutinins, febrile (eg, Brucella, Francisella, Murine typhus, Q fever, Rocky Mountain spotted fever, scrub typhus), each antigen"
83,94728,Airway resistance by oscillometry
84,82042,"Albumin; other source, quantitative, each specimen"
85,82040,"Albumin; serum, plasma or whole blood"
86,82043,"Albumin; urine (eg, microalbumin), quantitative"
87,82077,"Alcohol (ethanol); any specimen except urine and breath, immunoassay (eg, IA, EIA, ELISA, RIA, EMIT, FPIA) and enzymatic methods (eg, alcohol dehydrogenase)"
88,82075,Alcohol (ethanol); breath
89,80321,Alcohol biomarkers; 1 or 2
90,80320,Alcohols
91,82085,Aldolase
92,82088,Aldosterone
93,80323,"Alkaloids, not otherwise specified"
94,86005,"Allergen specific IgE; qualitative, multiallergen screen (eg, disk, sponge, card)"
95,86003,"Allergen specific IgE; quantitative or semiquantitative, crude allergen extract, each"
96,86008,"Allergen specific IgE; quantitative or semiquantitative, recombinant or purified component, each"
97,86001,"Allergen specific IgG quantitative or semiquantitative, each allergen"
98,Q4116,"Alloderm, per square centimeter"
99,20930,"Allograft, morselized, or placement of osteopromotive material, for spine surgery only (List separately in addition to code for primary procedure)"
100,Q4115,"Alloskin, per square centimeter"
101,82104,Alpha-1-antitrypsin; phenotype
102,82103,Alpha-1-antitrypsin; total
103,82107,Alpha-fetoprotein (AFP); AFP-L3 fraction isoform and total AFP (including ratio)
104,82106,Alpha-fetoprotein (AFP); amniotic fluid
105,82105,Alpha-fetoprotein (AFP); serum
106,82108,Aluminum
107,41874,"Alveoloplasty, each quadrant (specify)"
108,A0431,"Ambulance service, conventional air services, transport, one way (rotary wing)"
109,80150,Amikacin
110,82136,"Amino acids, 2 to 5 amino acids, quantitative, each specimen"
111,82139,"Amino acids, 6 or more amino acids, quantitative, each specimen"
112,82128,"Amino acids; multiple, qualitative, each specimen"
113,82131,"Amino acids; single, quantitative, each specimen"
114,82135,"Aminolevulinic acid, delta (ALA)"
115,80151,Amiodarone
116,82140,Ammonia
117,59000,Amniocentesis; diagnostic
118,59001,Amniocentesis; therapeutic amniotic fluid reduction (includes ultrasound guidance)
119,82143,Amniotic fluid scan (spectrophotometric)
120,V2790,"Amniotic membrane for surgical reconstruction, per procedure"
121,80324,Amphetamines; 1 or 2
122,80326,Amphetamines; 5 or more
123,54120,Amputation of penis; partial
124,26951,"Amputation, finger or thumb, primary or secondary, any joint or phalanx, single, including neurectomies; with direct closure"
125,26952,"Amputation, finger or thumb, primary or secondary, any joint or phalanx, single, including neurectomies; with local advancement flaps (V-Y, hood)"
126,28825,"Amputation, toe; interphalangeal joint"
127,28820,"Amputation, toe; metatarsophalangeal joint"
128,82150,Amylase
129,80327,Anabolic steroids; 1 or 2
130,80328,Anabolic steroids; 3 or more
131,C1713,Anchor/screw for opposing bone-to-bone or soft tissue-to-bone (implantable)
132,82154,Androstanediol glucuronide
133,82157,Androstenedione
134,82160,Androsterone
135,75898,"Angiography through existing catheter for follow-up study for transcatheter therapy, embolization or infusion, other than for thrombolysis"
136,75733,"Angiography, adrenal, bilateral, selective, radiological supervision and interpretation"
137,75731,"Angiography, adrenal, unilateral, selective, radiological supervision and interpretation"
138,75716,"Angiography, extremity, bilateral, radiological supervision and interpretation"
139,75710,"Angiography, extremity, unilateral, radiological supervision and interpretation"
140,75756,"Angiography, internal mammary, radiological supervision and interpretation"
141,75736,"Angiography, pelvic, selective or supraselective, radiological supervision and interpretation"
142,75743,"Angiography, pulmonary, bilateral, selective, radiological supervision and interpretation"
143,75746,"Angiography, pulmonary, by nonselective catheter or venous injection, radiological supervision and interpretation"
144,75741,"Angiography, pulmonary, unilateral, selective, radiological supervision and interpretation"
145,75774,"Angiography, selective, each additional vessel studied after basic examination, radiological supervision and interpretation (List separately in addition to code for primary procedure)"
